"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
1,2,46351.9,594.816,3702.56,6.32127
2,2,22410.4,810.766,6162.8,4.0597
3,2,6757.74,1107.41,5094.57,4.77594
4,2,36700.9,2223.43,3217.47,7.17125
5,2,33312.9,2474.38,3785.53,6.19758
6,2,9731.27,3526.71,2885.57,7.9165
7,2,38057.6,4224.89,4500.4,5.3196
8,2,43889.1,5444.31,3623.64,6.44414
9,2,32352.6,5480.48,4046.06,5.84195
10,2,12345.8,6878.81,3256.93,7.09271
11,2,7716.45,7533.62,11010.2,2.53655
12,2,31455.2,9285.35,3972.37,5.93784
13,2,2135.59,9359.05,3709.52,6.31068
14,2,15373.1,10964.6,2681.32,8.46639
15,2,2195,13574.9,3448.99,6.73593
16,2,15843.2,14005.1,2482.3,9.08893
17,2,13746.2,14310.7,3864.44,6.08483
18,2,10617.5,16401.3,5561.09,4.42973
19,2,5793.22,17117.7,2918.64,7.83467
20,2,23671.4,17781.3,4177.2,5.67961
21,2,8508.52,18417.4,2120.22,10.5201
22,2,18386.2,18627.4,1831.26,12.0672
23,2,1255.94,18990.6,7137.62,3.59092
24,2,22431.4,21232.2,1833.58,12.0529
25,2,42475.4,21638.6,2705.69,8.39644
26,2,39898.9,22007.1,5724.14,4.32188
27,2,49291,25195.7,2949.4,7.76022
28,2,37499.9,26912.1,4890.9,4.94756
29,2,47440,27193,3614.94,6.45801
30,2,45491.9,27419.2,3628.28,6.43676
31,2,25008.6,27970,2999.88,7.6413
32,2,29531,29484.2,2571.65,8.79755
33,2,21032.5,29866.4,1401.3,15.5477
34,2,32362.8,32490.1,4916.43,4.92528
35,2,3361.34,33849.8,3366.59,6.88403
36,2,35494.3,34070.3,2258.9,9.9179
37,2,24786,34759.7,3234.3,7.13752
38,2,43827.7,34983.6,2450.96,9.19612
39,2,23495.2,34921.9,5197.27,4.69445
40,2,48341.7,35039.5,3297.54,7.01381
41,2,46923.2,35286.5,4792.84,5.03534
42,2,2641.17,36119.7,3567.94,6.53412
43,2,1750,37290.6,1570.15,13.9539
44,2,4993.09,37620.8,3259.25,7.08814
45,2,5872.49,40406.5,4036.78,5.85384
46,2,3740.06,42353.8,3848.78,6.10685
47,2,49607.2,42372.5,2990.59,7.66287
48,2,5863.07,44435.8,3306.25,6.99715
49,2,35681.5,45168.3,3378.2,6.86273
50,2,4088.31,45421.5,4040.26,5.84937
51,2,27274.8,45655.5,2056.4,10.8245
52,2,40460.5,46167.1,2029.7,10.9575
53,2,28284,47256.5,3422.88,6.78209
54,2,5959.48,48732.8,7839.72,3.32437
55,21,22395.1,841.637,6182.53,4.04877
56,21,6773.16,1128.18,5497.84,4.47326
57,21,36691.2,2245.67,3231.98,7.14215
58,21,33285.2,2451.54,3682.83,6.3515
59,21,9692.29,3497.72,2810.14,8.11032
60,21,38027,4244.41,4583.37,5.23529
61,21,43912,5433.22,3560.4,6.54651
62,21,32341.5,5440.59,4035.62,5.85533
63,21,12340.2,6864.82,3035.27,7.56027
64,21,7725.77,7529.07,11068.2,2.52624
65,21,31440.6,9314.35,4106.99,5.76525
66,21,2125.02,9378.82,3658.46,6.38928
67,21,15420.1,10990.5,2476.49,9.10857
68,21,2181.65,13548.1,3075.89,7.46957
69,21,15834.5,13995.2,2705.11,8.39809
70,21,13774.7,14306.6,3792.49,6.18744
71,21,10611.6,16404.2,5638.84,4.37753
72,21,5726.03,17147.9,2945.33,7.76996
73,21,23744.4,17758.5,4210.27,5.64025
74,21,8491.64,18406.4,2141.11,10.4244
75,21,18386.5,18636.1,1785.42,12.3586
76,21,1262.88,19008.2,7378.42,3.4939
77,21,22394.7,21241.9,1727.4,12.7495
78,21,42451.3,21650,2685.38,8.45465
79,21,39901.3,22017.8,5593,4.40813
80,21,49279.9,25193.2,2915.16,7.8432
81,21,37488.5,26895.9,4679.11,5.1417
