Frame,Camera
1,1732281904.38351607
2,1732281904.43378806
3,1732281904.48406100
4,1732281904.53433299
5,1732281904.58462405
6,1732281904.63489699
7,1732281904.68518806
8,1732281904.73546004
9,1732281904.78573298
10,1732281904.83600497
11,1732281904.88629603
12,1732281904.93658805
13,1732281904.98686004
14,1732281905.03713202
15,1732281905.08740497
16,1732281905.13767695
17,1732281905.18798709
18,1732281905.23826003
19,1732281905.28853202
20,1732281905.33880496
21,1732281905.38909602
22,1732281905.43936801
23,1732281905.48967791
24,1732281905.53993201
25,1732281905.59020400
26,1732281905.64047694
27,1732281905.69076800
28,1732281905.74103999
29,1732281905.79133105
30,1732281905.84158492
31,1732281905.89187598
32,1732281905.94216704
33,1732281905.99243999
34,1732281906.04271197
35,1732281906.09300399
36,1732281906.14325690
37,1732281906.19356704
38,1732281906.24383998
39,1732281906.29411197
40,1732281906.34438491
41,1732281906.39465690
42,1732281906.44496703
43,1732281906.49522090
44,1732281906.54551196
45,1732281906.59578395
46,1732281906.64607501
47,1732281906.69636607
48,1732281906.74661994
49,1732281906.79691100
50,1732281906.84718394
51,1732281906.89745593
52,1732281906.94774699
53,1732281906.99803901
54,1732281907.04829192
55,1732281907.09858298
56,1732281907.14885592
57,1732281907.19914699
58,1732281907.24941993
59,1732281907.29969192
60,1732281907.34996390
61,1732281907.40025592
62,1732281907.45054698
63,1732281907.50081897
64,1732281907.55109191
65,1732281907.60136390
66,1732281907.65165496
67,1732281907.70192790
68,1732281907.75223708
69,1732281907.80249095
70,1732281907.85276389
71,1732281907.90303612
72,1732281907.95332694
73,1732281908.00363708
74,1732281908.05391002
75,1732281908.10418200
76,1732281908.15445495
77,1732281908.20472693
78,1732281908.25499892
79,1732281908.30529094
80,1732281908.35556293
81,1732281908.40583611
82,1732281908.45612693
83,1732281908.50639892
84,1732281908.55667210
85,1732281908.60698104
86,1732281908.65725398
87,1732281908.70752597
88,1732281908.75779891
89,1732281908.80807090
90,1732281908.85834408
91,1732281908.90861607
92,1732281908.95892596
93,1732281909.00919795
94,1732281909.05945206
95,1732281909.10974312
96,1732281909.16003394
97,1732281909.21032596
98,1732281909.26059794
99,1732281909.31088901
100,1732281909.36116195
