Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,20849.658,0.00000,21217.049
1,32304.490,0.00501,21252.527
2,42837.836,0.01001,21288.207
3,39008.562,0.01502,21324.088
4,26199.232,0.02002,21360.172
5,18991.930,0.02503,21396.459
,,0.03003,21432.947
,,0.03504,21469.641
,,0.04004,21506.537
,,0.04505,21543.637
,,0.05005,21580.939
,,0.05506,21618.447
,,0.06006,21656.160
,,0.06507,21694.078
,,0.07007,21732.201
,,0.07508,21770.529
,,0.08008,21809.064
,,0.08509,21847.803
,,0.09009,21886.750
,,0.09510,21925.902
,,0.10010,21965.260
,,0.10511,22004.826
,,0.11011,22044.598
,,0.11512,22084.578
,,0.12012,22124.764
,,0.12513,22165.158
,,0.13013,22205.760
,,0.13514,22246.568
,,0.14014,22287.584
,,0.14515,22328.809
,,0.15015,22370.242
,,0.15516,22411.883
,,0.16016,22453.732
,,0.16517,22495.789
,,0.17017,22538.055
,,0.17518,22580.527
,,0.18018,22623.209
,,0.18519,22666.100
,,0.19019,22709.199
,,0.19520,22752.506
,,0.20020,22796.021
,,0.20521,22839.746
,,0.21021,22883.678
,,0.21522,22927.820
,,0.22022,22972.168
,,0.22523,23016.727
,,0.23023,23061.492
,,0.23524,23106.465
,,0.24024,23151.648
,,0.24525,23197.037
,,0.25025,23242.635
,,0.25526,23288.439
,,0.26026,23334.453
,,0.26527,23380.672
,,0.27027,23427.100
,,0.27528,23473.734
,,0.28028,23520.576
,,0.28529,23567.623
,,0.29029,23614.877
,,0.29530,23662.338
,,0.30030,23710.006
,,0.30531,23757.877
,,0.31031,23805.955
,,0.31532,23854.238
,,0.32032,23902.727
,,0.32533,23951.418
,,0.33033,24000.316
,,0.33534,24049.416
,,0.34034,24098.721
,,0.34535,24148.229
,,0.35035,24197.939
,,0.35536,24247.854
,,0.36036,24297.969
,,0.36537,24348.285
,,0.37037,24398.805
,,0.37538,24449.525
,,0.38038,24500.445
,,0.38539,24551.564
,,0.39039,24602.885
,,0.39540,24654.404
,,0.40040,24706.121
,,0.40541,24758.037
,,0.41041,24810.150
,,0.41542,24862.461
,,0.42042,24914.967
,,0.42543,24967.670
,,0.43043,25020.568
,,0.43544,25073.660
,,0.44044,25126.947
,,0.44545,25180.428
,,0.45045,25234.102
,,0.45546,25287.967
,,0.46046,25342.023
,,0.46547,25396.271
,,0.47047,25450.709
,,0.47548,25505.338
,,0.48048,25560.154
,,0.48549,25615.158
,,0.49049,25670.350
,,0.49550,25725.729
,,0.50050,25781.293
,,0.50551,25837.043
,,0.51051,25892.975
,,0.51552,25949.092
,,0.52052,26005.391
,,0.52553,26061.871
,,0.53053,26118.533
,,0.53554,26175.375
,,0.54054,26232.396
,,0.54555,26289.594
,,0.55055,26346.971
,,0.55556,26404.523
,,0.56056,26462.250
,,0.56557,26520.152
,,0.57057,26578.227
,,0.57558,26636.475
,,0.58058,26694.893
,,0.58559,26753.482
,,0.59059,26812.240
,,0.59560,26871.166
,,0.60060,26930.260
,,0.60561,26989.520
,,0.61061,27048.945
,,0.61562,27108.533
,,0.62062,27168.283
,,0.62563,27228.197
,,0.63063,27288.270
,,0.63564,27348.502
,,0.64064,27408.891
,,0.64565,27469.438
,,0.65065,27530.143
,,0.65566,27590.998
,,0.66066,27652.008
,,0.66567,27713.170
,,0.67067,27774.482
,,0.67568,27835.943
,,0.68068,27897.553
,,0.68569,27959.309
,,0.69069,28021.209
,,0.69570,28083.254
,,0.70070,28145.441
,,0.70571,28207.771
,,0.71071,28270.238
,,0.71572,28332.846
,,0.72072,28395.588
,,0.72573,28458.467
,,0.73073,28521.480
,,0.73574,28584.625
,,0.74074,28647.902
,,0.74575,28711.307
,,0.75075,28774.842
,,0.75576,28838.502
,,0.76076,28902.285
,,0.76577,28966.193
,,0.77077,29030.223
,,0.77578,29094.373
,,0.78078,29158.641
,,0.78579,29223.027
,,0.79079,29287.527
,,0.79580,29352.141
,,0.80080,29416.867
,,0.80581,29481.703
,,0.81081,29546.646
,,0.81582,29611.697
,,0.82082,29676.854
,,0.82583,29742.113
,,0.83083,29807.475
,,0.83584,29872.936
,,0.84084,29938.494
,,0.84585,30004.148
,,0.85085,30069.900
,,0.85586,30135.742
,,0.86086,30201.674
,,0.86587,30267.695
,,0.87087,30333.805
,,0.87588,30399.998
,,0.88088,30466.275
,,0.88589,30532.633
,,0.89089,30599.072
,,0.89590,30665.586
,,0.90090,30732.178
,,0.90591,30798.842
,,0.91091,30865.576
,,0.91592,30932.383
,,0.92092,30999.256
,,0.92593,31066.193
,,0.93093,31133.195
,,0.93594,31200.260
,,0.94094,31267.383
,,0.94595,31334.562
,,0.95095,31401.799
,,0.95596,31469.088
,,0.96096,31536.428
,,0.96597,31603.816
,,0.97097,31671.252
,,0.97598,31738.732
,,0.98098,31806.256
,,0.98599,31873.820
,,0.99099,31941.422
,,0.99600,32009.059
,,1.00100,32076.730
,,1.00601,32144.434
,,1.01101,32212.166
,,1.01602,32279.928
,,1.02102,32347.711
,,1.02603,32415.520
,,1.03103,32483.348
,,1.03604,32551.193
,,1.04104,32619.055
,,1.04605,32686.930
,,1.05105,32754.816
,,1.05606,32822.711
,,1.06106,32890.613
,,1.06607,32958.520
,,1.07107,33026.430
,,1.07608,33094.336
,,1.08108,33162.242
,,1.08609,33230.141
,,1.09109,33298.035
,,1.09610,33365.918
,,1.10110,33433.789
,,1.10611,33501.641
,,1.11111,33569.480
,,1.11612,33637.297
,,1.12112,33705.094
,,1.12613,33772.863
,,1.13113,33840.609
,,1.13614,33908.324
,,1.14114,33976.008
,,1.14615,34043.656
,,1.15115,34111.266
,,1.15616,34178.836
,,1.16116,34246.367
,,1.16617,34313.852
,,1.17117,34381.289
,,1.17618,34448.680
,,1.18118,34516.016
,,1.18619,34583.297
,,1.19119,34650.523
,,1.19620,34717.688
,,1.20120,34784.789
,,1.20621,34851.828
,,1.21121,34918.797
,,1.21622,34985.699
,,1.22122,35052.523
,,1.22623,35119.277
,,1.23123,35185.953
,,1.23624,35252.547
,,1.24124,35319.055
,,1.24625,35385.480
,,1.25125,35451.816
,,1.25626,35518.062
,,1.26126,35584.215
,,1.26627,35650.273
,,1.27127,35716.230
