Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,14948.386,0.00000,14365.369
1,19221.564,0.00901,14381.939
2,24281.369,0.01802,14398.723
3,41494.078,0.02703,14415.721
4,44571.914,0.03604,14432.936
5,40309.598,0.04505,14450.369
6,30371.838,0.05405,14468.023
7,17172.266,0.06306,14485.901
8,14958.719,0.07207,14504.004
9,13173.567,0.08108,14522.334
,,0.09009,14540.894
,,0.09910,14559.685
,,0.10811,14578.710
,,0.11712,14597.971
,,0.12613,14617.471
,,0.13514,14637.210
,,0.14414,14657.192
,,0.15315,14677.419
,,0.16216,14697.893
,,0.17117,14718.616
,,0.18018,14739.590
,,0.18919,14760.818
,,0.19820,14782.303
,,0.20721,14804.044
,,0.21622,14826.047
,,0.22523,14848.312
,,0.23423,14870.842
,,0.24324,14893.639
,,0.25225,14916.706
,,0.26126,14940.044
,,0.27027,14963.656
,,0.27928,14987.545
,,0.28829,15011.713
,,0.29730,15036.161
,,0.30631,15060.893
,,0.31532,15085.909
,,0.32432,15111.214
,,0.33333,15136.809
,,0.34234,15162.696
,,0.35135,15188.879
,,0.36036,15215.357
,,0.36937,15242.137
,,0.37838,15269.218
,,0.38739,15296.602
,,0.39640,15324.293
,,0.40541,15352.293
,,0.41441,15380.604
,,0.42342,15409.229
,,0.43243,15438.169
,,0.44144,15467.427
,,0.45045,15497.006
,,0.45946,15526.907
,,0.46847,15557.134
,,0.47748,15587.688
,,0.48649,15618.572
,,0.49550,15649.788
,,0.50450,15681.338
,,0.51351,15713.226
,,0.52252,15745.452
,,0.53153,15778.020
,,0.54054,15810.931
,,0.54955,15844.188
,,0.55856,15877.794
,,0.56757,15911.750
,,0.57658,15946.060
,,0.58559,15980.724
,,0.59459,16015.746
,,0.60360,16051.128
,,0.61261,16086.871
,,0.62162,16122.979
,,0.63063,16159.454
,,0.63964,16196.297
,,0.64865,16233.512
,,0.65766,16271.100
,,0.66667,16309.063
,,0.67568,16347.404
,,0.68468,16386.125
,,0.69369,16425.229
,,0.70270,16464.715
,,0.71171,16504.590
,,0.72072,16544.852
,,0.72973,16585.504
,,0.73874,16626.551
,,0.74775,16667.992
,,0.75676,16709.830
,,0.76577,16752.068
,,0.77477,16794.707
,,0.78378,16837.748
,,0.79279,16881.197
,,0.80180,16925.051
,,0.81081,16969.316
,,0.81982,17013.992
,,0.82883,17059.082
,,0.83784,17104.588
,,0.84685,17150.510
,,0.85586,17196.852
,,0.86486,17243.615
,,0.87387,17290.801
,,0.88288,17338.412
,,0.89189,17386.451
,,0.90090,17434.918
,,0.90991,17483.814
,,0.91892,17533.145
,,0.92793,17582.908
,,0.93694,17633.107
,,0.94595,17683.744
,,0.95495,17734.822
,,0.96396,17786.340
,,0.97297,17838.299
,,0.98198,17890.703
,,0.99099,17943.553
,,1.00000,17996.850
,,1.00901,18050.596
,,1.01802,18104.793
,,1.02703,18159.441
,,1.03604,18214.543
,,1.04505,18270.100
,,1.05405,18326.113
,,1.06306,18382.584
,,1.07207,18439.514
,,1.08108,18496.904
,,1.09009,18554.756
,,1.09910,18613.068
,,1.10811,18671.848
,,1.11712,18731.092
,,1.12613,18790.801
,,1.13514,18850.979
,,1.14414,18911.623
,,1.15315,18972.738
,,1.16216,19034.324
,,1.17117,19096.383
,,1.18018,19158.912
,,1.18919,19221.916
,,1.19820,19285.395
,,1.20721,19349.346
,,1.21622,19413.775
,,1.22523,19478.680
,,1.23423,19544.062
,,1.24324,19609.924
,,1.25225,19676.264
,,1.26126,19743.082
,,1.27027,19810.379
,,1.27928,19878.158
,,1.28829,19946.418
,,1.29730,20015.158
,,1.30631,20084.381
,,1.31532,20154.084
,,1.32432,20224.271
,,1.33333,20294.939
,,1.34234,20366.090
,,1.35135,20437.723
,,1.36036,20509.840
,,1.36937,20582.439
,,1.37838,20655.521
,,1.38739,20729.086
,,1.39640,20803.133
,,1.40541,20877.664
,,1.41441,20952.676
,,1.42342,21028.172
,,1.43243,21104.148
,,1.44144,21180.605
,,1.45045,21257.545
,,1.45946,21334.965
,,1.46847,21412.865
,,1.47748,21491.244
,,1.48649,21570.104
,,1.49550,21649.439
,,1.50450,21729.256
,,1.51351,21809.547
,,1.52252,21890.314
,,1.53153,21971.557
,,1.54054,22053.273
,,1.54955,22135.463
,,1.55856,22218.125
,,1.56757,22301.260
,,1.57658,22384.861
,,1.58559,22468.934
,,1.59459,22553.473
,,1.60360,22638.479
,,1.61261,22723.949
,,1.62162,22809.883
,,1.63063,22896.277
,,1.63964,22983.133
,,1.64865,23070.447
,,1.65766,23158.217
,,1.66667,23246.443
,,1.67568,23335.123
,,1.68468,23424.252
,,1.69369,23513.832
,,1.70270,23603.861
,,1.71171,23694.334
,,1.72072,23785.250
,,1.72973,23876.607
,,1.73874,23968.402
,,1.74775,24060.635
,,1.75676,24153.301
,,1.76577,24246.398
,,1.77477,24339.926
,,1.78378,24433.881
,,1.79279,24528.258
,,1.80180,24623.057
,,1.81081,24718.275
,,1.81982,24813.908
,,1.82883,24909.955
,,1.83784,25006.410
,,1.84685,25103.273
,,1.85586,25200.539
,,1.86486,25298.207
,,1.87387,25396.271
,,1.88288,25494.729
,,1.89189,25593.578
,,1.90090,25692.816
,,1.90991,25792.436
,,1.91892,25892.436
,,1.92793,25992.812
,,1.93694,26093.562
,,1.94595,26194.682
,,1.95495,26296.166
,,1.96396,26398.012
,,1.97297,26500.217
,,1.98198,26602.773
,,1.99099,26705.680
,,2.00000,26808.930
,,2.00901,26912.523
,,2.01802,27016.453
,,2.02703,27120.715
,,2.03604,27225.303
,,2.04505,27330.219
,,2.05405,27435.449
,,2.06306,27540.996
,,2.07207,27646.852
,,2.08108,27753.014
,,2.09009,27859.473
,,2.09910,27966.230
,,2.10811,28073.277
,,2.11712,28180.609
,,2.12613,28288.221
,,2.13514,28396.109
,,2.14414,28504.264
,,2.15315,28612.688
