"id","frame","x [nm]","y [nm]","intensity [photon]","uncertainty_xy [nm]"
1,2,6693,692.25,4850.86,4.98297
2,2,36685.6,1831.63,4056.51,5.82864
3,2,33345.2,2041.86,3902.16,6.03255
4,2,9686.22,3104.79,3478,6.68544
5,2,38069.1,3822.72,4398.27,5.42768
6,2,43892.6,5013.75,4477.77,5.34313
7,2,32304.4,5037.41,4281.06,5.55804
8,2,12329.5,6417.11,3442.02,6.74817
9,2,7739.13,7077.16,10013.9,2.73174
10,2,31485.5,8889.98,3744.91,6.25745
11,2,2009.88,8944.73,3165.25,7.27819
12,2,15343.5,10568.1,3409.53,6.80596
13,2,2215.72,13071.2,3400.25,6.82267
14,2,15774.6,13552.3,3193.1,7.22072
15,2,13767.8,13855.5,3907.38,6.02539
16,2,10621.6,16017.5,4285.12,5.5534
17,2,5742.65,16650.2,3151.32,7.30731
18,2,23725.1,17311.7,4996.51,4.85685
19,2,8460.95,17961.3,2914,7.84604
20,2,18335.1,18252,2598.35,8.71438
21,2,1239.15,18618.9,6964.12,3.66491
22,2,22356.5,20846.1,1995.47,11.1332
23,2,42497.2,21288.8,3291.16,7.02608
24,2,39855.8,21545.2,5474.05,4.48989
25,2,49266.5,24778.7,3588.25,6.50099
26,2,37468.4,26506.6,5403.26,4.54024
27,2,47484.6,26831.5,3642.21,6.41475
28,2,45560.1,27046.8,3909.12,6.023
29,2,25005.9,27556.8,3642.21,6.41475
30,2,29477.1,29060.3,2875.12,7.94273
31,2,20964.6,29486.1,1884.06,11.7492
32,2,32299.2,32017.5,4647.78,5.17191
33,2,3293.14,33427.7,3827.89,6.13649
34,2,35504.4,33692.9,1885.8,11.739
35,2,24775.5,34386.6,4023.43,5.87102
36,2,43838.6,34602.2,2475.91,9.11054
37,2,23442.2,34511.7,5127.64,4.74935
38,2,48295.7,34663.1,3829.63,6.134
39,2,46918.6,34824.6,6068.22,4.11306
40,2,2639.96,35730.9,3585.35,6.5057
41,2,1681.14,36932.9,1801.09,12.2573
42,2,4925.14,37220,3315.53,6.97948
43,2,5872.1,40033.9,3596.95,6.48691
44,2,3665.12,41924.1,4252.63,5.59073
45,2,5871.25,44032.2,2771.26,8.21431
46,2,35660.4,44809.7,2862.94,7.97358
47,2,3958.01,44972.1,3959.02,5.95559
48,2,27245,45261.1,2434.72,9.25278
49,2,40463.9,45810.7,1673.43,13.1374
50,2,28260.7,46786.6,1823.14,12.1178
51,2,5898.25,48320.6,6551.57,3.85629
52,21,6654.36,699.027,4059.99,5.82421
53,21,36689.2,1812.05,3240.68,7.12482
54,21,33330.4,2036.68,3547.05,6.56858
55,21,9651.91,3090.56,2800.85,8.13489
56,21,38064.5,3816.84,3736.79,6.26958
57,21,43906.4,5013.25,3542.41,6.57629
58,21,32305.6,5024.49,3366.59,6.88403
59,21,12334.1,6417.11,2956.36,7.74358
60,21,7726.14,7080.69,8106.05,3.23511
61,21,31487,8891.33,3148.42,7.31341
62,21,2001.33,8959.88,2689.44,8.44293
63,21,15371.3,10597.3,2806.07,8.12105
64,21,2205.34,13086.1,2744.57,8.2874
65,21,15768.9,13546.7,2668.56,8.50355
66,21,13760.7,13868.1,3228.49,7.14911
67,21,10637,16012.6,3733.89,6.27392
68,21,5738.69,16676.6,2783.44,8.1814
69,21,23718.1,17308.4,4374.48,5.45358
70,21,8468.24,17962.5,2402.22,9.36839
71,21,18338.3,18269.3,2213.06,10.1086
72,21,1270.42,18607,5890.67,4.21781
73,21,22330.5,20866.7,1725.65,12.7616
74,21,42519.9,21271.6,2540.9,8.89552
75,21,39850.7,21543.8,4783.56,5.04383
76,21,49282.2,24756.2,2864.1,7.97063
77,21,37443.7,26519.8,4338.51,5.49328
78,21,47479.4,26822.7,2884.41,7.91941
79,21,45542,27018.8,3231.4,7.14331
80,21,24990.2,27571.6,3274.33,7.05865
81,21,29483.1,29056.3,2381.33,9.44438
82,21,20932.9,29472.5,1725.65,12.7616
83,21,32298.6,32022.7,4075.65,5.80441
84,21,3285.37,33458.1,3310.31,6.98941
85,21,35545.8,33704.9,1599.16,13.7139
86,21,24779,34360.9,3204.7,7.19707
87,21,43820.7,34581.1,2231.63,10.0304
88,21,23444.2,34501,4290.35,5.54745
89,21,48282.1,34653.1,3321.33,6.96849
