Frame,Camera
1,1732283994.61184502
2,1732283994.66211700
3,1732283994.71238899
4,1732283994.76268101
5,1732283994.81295300
6,1732283994.86322594
7,1732283994.91346097
8,1732283994.96376991
9,1732283995.01404309
10,1732283995.06431508
11,1732283995.11460710
12,1732283995.16489792
13,1732283995.21516991
14,1732283995.26546097
15,1732283995.31573391
16,1732283995.36600590
17,1732283995.41627908
18,1732283995.46655107
19,1732283995.51686096
20,1732283995.56713295
21,1732283995.61740589
22,1732283995.66767812
23,1732283995.71798801
24,1732283995.76824188
25,1732283995.81849599
26,1732283995.86876798
27,1732283995.91907811
28,1732283995.96935010
29,1732283996.01962304
30,1732283996.06989503
31,1732283996.12016797
32,1732283996.17049599
33,1732283996.22078705
34,1732283996.27107811
35,1732283996.32135105
36,1732283996.37160492
37,1732283996.42193294
38,1732283996.47220612
39,1732283996.52247810
40,1732283996.57275105
41,1732283996.62304211
42,1732283996.67331409
43,1732283996.72358704
44,1732283996.77389598
45,1732283996.82420611
46,1732283996.87449694
47,1732283996.92478800
48,1732283996.97504210
49,1732283997.02533293
50,1732283997.07560611
51,1732283997.12587810
52,1732283997.17615104
53,1732283997.22646093
54,1732283997.27675200
55,1732283997.32702398
56,1732283997.37729692
57,1732283997.42760611
58,1732283997.47785997
59,1732283997.52813292
60,1732283997.57842398
61,1732283997.62867808
62,1732283997.67895007
63,1732283997.72924089
64,1732283997.77955103
65,1732283997.82982302
66,1732283997.88011503
67,1732283997.93038702
68,1732283997.98064089
69,1732283998.03093195
70,1732283998.08120394
71,1732283998.13149595
72,1732283998.18178701
73,1732283998.23207808
74,1732283998.28235006
75,1732283998.33262300
76,1732283998.38289499
77,1732283998.43318605
78,1732283998.48345900
79,1732283998.53375006
80,1732283998.58402205
81,1732283998.63429499
82,1732283998.68456697
83,1732283998.73483992
84,1732283998.78513098
85,1732283998.83540297
86,1732283998.88569403
87,1732283998.93594790
88,1732283998.98622108
89,1732283999.03649306
90,1732283999.08676600
91,1732283999.13703799
92,1732283999.18731093
93,1732283999.23758292
94,1732283999.28783703
95,1732283999.33812809
96,1732283999.38840103
97,1732283999.43867302
98,1732283999.48894501
99,1732283999.53921795
100,1732283999.58948994
