Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,18456.506,0.00000,17833.551
1,24600.344,0.00701,17868.531
2,39736.266,0.01401,17903.766
3,45853.312,0.02102,17939.258
4,45711.688,0.02803,17975.006
5,32895.977,0.03504,18011.014
6,21059.506,0.04204,18047.279
7,16359.111,0.04905,18083.807
,,0.05606,18120.594
,,0.06306,18157.643
,,0.07007,18194.957
,,0.07708,18232.533
,,0.08408,18270.375
,,0.09109,18308.482
,,0.09810,18346.855
,,0.10511,18385.498
,,0.11211,18424.408
,,0.11912,18463.588
,,0.12613,18503.039
,,0.13313,18542.760
,,0.14014,18582.754
,,0.14715,18623.020
,,0.15415,18663.561
,,0.16116,18704.375
,,0.16817,18745.467
,,0.17518,18786.832
,,0.18218,18828.477
,,0.18919,18870.398
,,0.19620,18912.598
,,0.20320,18955.078
,,0.21021,18997.838
,,0.21722,19040.879
,,0.22422,19084.201
,,0.23123,19127.807
,,0.23824,19171.695
,,0.24525,19215.869
,,0.25225,19260.326
,,0.25926,19305.068
,,0.26627,19350.096
,,0.27327,19395.412
,,0.28028,19441.016
,,0.28729,19486.906
,,0.29429,19533.086
,,0.30130,19579.555
,,0.30831,19626.312
,,0.31532,19673.363
,,0.32232,19720.703
,,0.32933,19768.336
,,0.33634,19816.260
,,0.34334,19864.479
,,0.35035,19912.990
,,0.35736,19961.795
,,0.36436,20010.895
,,0.37137,20060.289
,,0.37838,20109.979
,,0.38539,20159.965
,,0.39239,20210.246
,,0.39940,20260.826
,,0.40641,20311.701
,,0.41341,20362.875
,,0.42042,20414.348
,,0.42743,20466.119
,,0.43443,20518.189
,,0.44144,20570.557
,,0.44845,20623.227
,,0.45546,20676.193
,,0.46246,20729.463
,,0.46947,20783.031
,,0.47648,20836.902
,,0.48348,20891.074
,,0.49049,20945.545
,,0.49750,21000.320
,,0.50450,21055.396
,,0.51151,21110.773
,,0.51852,21166.453
,,0.52553,21222.436
,,0.53253,21278.721
,,0.53954,21335.309
,,0.54655,21392.199
,,0.55355,21449.393
,,0.56056,21506.889
,,0.56757,21564.689
,,0.57457,21622.791
,,0.58158,21681.197
,,0.58859,21739.904
,,0.59560,21798.916
,,0.60260,21858.232
,,0.60961,21917.850
,,0.61662,21977.771
,,0.62362,22037.994
,,0.63063,22098.521
,,0.63764,22159.352
,,0.64464,22220.482
,,0.65165,22281.918
,,0.65866,22343.654
,,0.66567,22405.693
,,0.67267,22468.033
,,0.67968,22530.676
,,0.68669,22593.619
,,0.69369,22656.863
,,0.70070,22720.410
,,0.70771,22784.256
,,0.71471,22848.400
,,0.72172,22912.848
,,0.72873,22977.592
,,0.73574,23042.637
,,0.74274,23107.979
,,0.74975,23173.619
,,0.75676,23239.559
,,0.76376,23305.795
,,0.77077,23372.326
,,0.77778,23439.156
,,0.78478,23506.279
,,0.79179,23573.699
,,0.79880,23641.412
,,0.80581,23709.420
,,0.81281,23777.721
,,0.81982,23846.314
,,0.82683,23915.199
,,0.83383,23984.377
,,0.84084,24053.844
,,0.84785,24123.600
,,0.85485,24193.646
,,0.86186,24263.980
,,0.86887,24334.602
,,0.87588,24405.510
,,0.88288,24476.703
,,0.88989,24548.180
,,0.89690,24619.941
,,0.90390,24691.986
,,0.91091,24764.314
,,0.91792,24836.922
,,0.92492,24909.809
,,0.93193,24982.977
,,0.93894,25056.420
,,0.94595,25130.143
,,0.95295,25204.141
,,0.95996,25278.412
,,0.96697,25352.957
,,0.97397,25427.775
,,0.98098,25502.863
,,0.98799,25578.223
,,0.99499,25653.850
,,1.00200,25729.744
,,1.00901,25805.904
,,1.01602,25882.330
,,1.02302,25959.020
,,1.03003,26035.971
,,1.03704,26113.182
,,1.04404,26190.652
,,1.05105,26268.381
,,1.05806,26346.367
,,1.06507,26424.607
,,1.07207,26503.100
,,1.07908,26581.846
,,1.08609,26660.840
,,1.09309,26740.084
,,1.10010,26819.578
,,1.10711,26899.314
,,1.11411,26979.295
,,1.12112,27059.518
,,1.12813,27139.979
,,1.13514,27220.682
,,1.14214,27301.619
,,1.14915,27382.793
,,1.15616,27464.199
,,1.16316,27545.836
,,1.17017,27627.703
,,1.17718,27709.799
,,1.18418,27792.119
,,1.19119,27874.664
,,1.19820,27957.432
,,1.20521,28040.416
,,1.21221,28123.621
,,1.21922,28207.041
,,1.22623,28290.674
,,1.23323,28374.520
,,1.24024,28458.574
,,1.24725,28542.836
,,1.25425,28627.303
,,1.26126,28711.973
,,1.26827,28796.844
,,1.27528,28881.912
,,1.28228,28967.178
,,1.28929,29052.637
,,1.29630,29138.289
,,1.30330,29224.131
,,1.31031,29310.158
,,1.31732,29396.369
,,1.32432,29482.764
,,1.33133,29569.336
,,1.33834,29656.088
,,1.34535,29743.014
,,1.35235,29830.111
,,1.35936,29917.377
,,1.36637,30004.812
,,1.37337,30092.410
,,1.38038,30180.172
,,1.38739,30268.092
,,1.39439,30356.168
,,1.40140,30444.398
,,1.40841,30532.779
,,1.41542,30621.311
,,1.42242,30709.986
,,1.42943,30798.805
,,1.43644,30887.764
,,1.44344,30976.859
,,1.45045,31066.090
,,1.45746,31155.451
,,1.46446,31244.941
,,1.47147,31334.559
,,1.47848,31424.297
,,1.48549,31514.156
,,1.49249,31604.133
,,1.49950,31694.223
,,1.50651,31784.424
,,1.51351,31874.732
,,1.52052,31965.145
,,1.52753,32055.658
,,1.53453,32146.271
,,1.54154,32236.980
,,1.54855,32327.779
,,1.55556,32418.668
,,1.56256,32509.643
,,1.56957,32600.701
,,1.57658,32691.836
,,1.58358,32783.051
,,1.59059,32874.336
,,1.59760,32965.688
,,1.60460,33057.109
,,1.61161,33148.594
,,1.61862,33240.133
,,1.62563,33331.734
