Distance_(pixels),Gray_Value,X_Fit:_Gaussian,Fit:_Gaussian
0,14530.052,0.00000,14775.490
1,18420.703,0.00901,14791.314
2,24048.312,0.01802,14807.332
3,40654.656,0.02703,14823.547
4,41450.906,0.03604,14839.959
5,41530.016,0.04505,14856.570
6,31451.475,0.05405,14873.383
7,18667.836,0.06306,14890.398
8,15716.086,0.07207,14907.620
9,15044.323,0.08108,14925.048
,,0.09009,14942.684
,,0.09910,14960.531
,,0.10811,14978.591
,,0.11712,14996.864
,,0.12613,15015.354
,,0.13514,15034.062
,,0.14414,15052.990
,,0.15315,15072.140
,,0.16216,15091.514
,,0.17117,15111.113
,,0.18018,15130.939
,,0.18919,15150.996
,,0.19820,15171.284
,,0.20721,15191.805
,,0.21622,15212.562
,,0.22523,15233.556
,,0.23423,15254.788
,,0.24324,15276.263
,,0.25225,15297.979
,,0.26126,15319.941
,,0.27027,15342.150
,,0.27928,15364.608
,,0.28829,15387.317
,,0.29730,15410.279
,,0.30631,15433.496
,,0.31532,15456.970
,,0.32432,15480.702
,,0.33333,15504.696
,,0.34234,15528.952
,,0.35135,15553.473
,,0.36036,15578.261
,,0.36937,15603.316
,,0.37838,15628.644
,,0.38739,15654.243
,,0.39640,15680.118
,,0.40541,15706.270
,,0.41441,15732.699
,,0.42342,15759.409
,,0.43243,15786.403
,,0.44144,15813.681
,,0.45045,15841.245
,,0.45946,15869.099
,,0.46847,15897.242
,,0.47748,15925.679
,,0.48649,15954.409
,,0.49550,15983.438
,,0.50450,16012.764
,,0.51351,16042.390
,,0.52252,16072.319
,,0.53153,16102.553
,,0.54054,16133.093
,,0.54955,16163.941
,,0.55856,16195.100
,,0.56757,16226.571
,,0.57658,16258.356
,,0.58559,16290.458
,,0.59459,16322.877
,,0.60360,16355.617
,,0.61261,16388.680
,,0.62162,16422.064
,,0.63063,16455.775
,,0.63964,16489.814
,,0.64865,16524.184
,,0.65766,16558.885
,,0.66667,16593.918
,,0.67568,16629.287
,,0.68468,16664.994
,,0.69369,16701.039
,,0.70270,16737.424
,,0.71171,16774.154
,,0.72072,16811.227
,,0.72973,16848.646
,,0.73874,16886.414
,,0.74775,16924.531
,,0.75676,16963.002
,,0.76577,17001.824
,,0.77477,17041.004
,,0.78378,17080.539
,,0.79279,17120.434
,,0.80180,17160.688
,,0.81081,17201.305
,,0.81982,17242.285
,,0.82883,17283.631
,,0.83784,17325.346
,,0.84685,17367.428
,,0.85586,17409.881
,,0.86486,17452.707
,,0.87387,17495.906
,,0.88288,17539.480
,,0.89189,17583.432
,,0.90090,17627.762
,,0.90991,17672.473
,,0.91892,17717.564
,,0.92793,17763.039
,,0.93694,17808.898
,,0.94595,17855.143
,,0.95495,17901.775
,,0.96396,17948.797
,,0.97297,17996.209
,,0.98198,18044.014
,,0.99099,18092.209
,,1.00000,18140.801
,,1.00901,18189.787
,,1.01802,18239.172
,,1.02703,18288.953
,,1.03604,18339.135
,,1.04505,18389.717
,,1.05405,18440.701
,,1.06306,18492.088
,,1.07207,18543.881
,,1.08108,18596.076
,,1.09009,18648.680
,,1.09910,18701.691
,,1.10811,18755.111
,,1.11712,18808.941
,,1.12613,18863.182
,,1.13514,18917.832
,,1.14414,18972.896
,,1.15315,19028.375
,,1.16216,19084.266
,,1.17117,19140.574
,,1.18018,19197.297
,,1.18919,19254.436
,,1.19820,19311.994
,,1.20721,19369.969
,,1.21622,19428.363
,,1.22523,19487.178
,,1.23423,19546.414
,,1.24324,19606.068
,,1.25225,19666.146
,,1.26126,19726.645
,,1.27027,19787.566
,,1.27928,19848.910
,,1.28829,19910.678
,,1.29730,19972.869
,,1.30631,20035.486
,,1.31532,20098.525
,,1.32432,20161.990
,,1.33333,20225.881
,,1.34234,20290.195
,,1.35135,20354.936
,,1.36036,20420.102
,,1.36937,20485.693
,,1.37838,20551.711
,,1.38739,20618.152
,,1.39640,20685.021
,,1.40541,20752.316
,,1.41441,20820.035
,,1.42342,20888.180
,,1.43243,20956.750
,,1.44144,21025.746
,,1.45045,21095.166
,,1.45946,21165.010
,,1.46847,21235.279
,,1.47748,21305.971
