Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
5.000000E+0	3.095718E-2	3.106663E+0	3.631178E-1
5.162500E+0	3.359108E-2	2.230671E+0	3.622540E-3
5.325000E+0	3.501870E-2	3.051523E+0	9.489842E-1
5.487500E+0	3.689044E-2	3.559489E+0	2.314248E-1
5.650000E+0	3.323972E-2	3.506391E+0	-9.176305E-1
5.812500E+0	4.720259E-2	3.536648E+0	-1.631869E+0
5.975000E+0	4.784158E-2	3.939779E+0	-2.325493E+0
6.137500E+0	4.493871E-2	3.206839E+0	-1.857373E+0
6.300000E+0	4.331742E-2	5.053990E+0	-3.976109E+0
6.462500E+0	4.745094E-2	4.711156E+0	-3.188618E+0
6.625000E+0	4.727752E-2	4.841114E+0	-4.117828E+0
6.787500E+0	5.312952E-2	5.805099E+0	-5.232493E+0
6.950000E+0	5.610497E-2	5.665510E+0	-4.815599E+0
7.112500E+0	5.097272E-2	5.981990E+0	-5.734154E+0
7.275000E+0	5.204505E-2	5.999963E+0	-5.632388E+0
7.437500E+0	6.488746E-2	5.919030E+0	-5.404159E+0
7.600000E+0	6.403422E-2	6.738249E+0	-6.682858E+0
7.762500E+0	6.129210E-2	6.805500E+0	-6.784577E+0
7.925000E+0	6.514005E-2	6.716805E+0	-6.716805E+0
8.087500E+0	5.673928E-2	6.477395E+0	-6.440771E+0
8.250000E+0	6.445222E-2	6.297394E+0	-6.058421E+0
8.412500E+0	5.708436E-2	5.811822E+0	-5.435278E+0
8.575000E+0	5.511535E-2	6.461416E+0	-5.530863E+0
8.737500E+0	5.859184E-2	5.550058E+0	-4.467311E+0
8.900000E+0	4.963818E-2	4.593985E+0	-4.034602E+0
9.062500E+0	4.799609E-2	5.934520E+0	-4.116052E+0
9.225000E+0	4.530850E-2	4.698346E+0	-3.405136E+0
9.387500E+0	4.978148E-2	4.523624E+0	-2.107234E+0
9.550000E+0	4.874589E-2	5.006014E+0	-3.607465E+0
9.712500E+0	4.300265E-2	3.506776E+0	-2.038604E+0
