Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
1.80000000E+0	0.00000000E+0	1.49426159E-1	1.12991400E+1	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.65000000E+0	0.00000000E+0	1.49247174E-1	3.45405087E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E+0	0.00000000E+0	1.47767536E-1	3.41798366E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.35000000E+0	0.00000000E+0	1.46804049E-1	3.64571737E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.20000000E+0	0.00000000E+0	1.45050305E-1	3.41293908E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.05000000E+0	0.00000000E+0	1.46011737E-1	3.41793169E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
9.00000000E-1	0.00000000E+0	1.45702480E-1	3.42032730E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
7.50000000E-1	0.00000000E+0	1.45429344E-1	3.42482836E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
6.00000000E-1	0.00000000E+0	1.46051728E-1	3.41778493E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.50000000E-1	0.00000000E+0	1.45974231E-1	3.47511331E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.00000000E-1	0.00000000E+0	1.46432490E-1	3.41996280E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E-1	0.00000000E+0	1.45976407E-1	3.40828579E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
0.00000000E+0	0.00000000E+0	1.45612921E-1	3.57838538E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
