Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
4.50000000E+0	0.00000000E+0	1.53461478E-1	5.16116905E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.15000000E+0	0.00000000E+0	1.50531997E-1	3.41686413E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.80000000E+0	0.00000000E+0	1.62446621E-1	3.41160756E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.45000000E+0	0.00000000E+0	1.45796390E-1	3.44996418E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.10000000E+0	0.00000000E+0	1.46898429E-1	3.42567102E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.75000000E+0	0.00000000E+0	1.47246182E-1	3.41008349E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.40000000E+0	0.00000000E+0	1.47571472E-1	3.41668621E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.05000000E+0	0.00000000E+0	1.47236340E-1	3.41611377E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.70000000E+0	0.00000000E+0	1.48209893E-1	3.41048348E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.35000000E+0	0.00000000E+0	1.47085431E-1	3.42677064E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E+0	0.00000000E+0	1.47142317E-1	3.41277845E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
