Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	1.551601E-2	2.884151E-1	1.587155E-1
1.011250E+1	1.733295E-2	5.253317E-1	-5.162884E-1
1.022500E+1	1.945575E-2	8.193741E-1	-8.003097E-1
1.033750E+1	1.874591E-2	7.102578E-1	-5.758875E-1
1.045000E+1	2.063138E-2	8.156084E-1	-7.671845E-2
1.056250E+1	1.630258E-2	3.748463E-1	-1.952632E-1
1.067500E+1	2.627711E-2	1.008728E+0	-6.165048E-1
1.078750E+1	2.130618E-2	3.495155E-1	-3.198274E-1
1.090000E+1	2.057432E-2	5.101443E-1	-5.070357E-1
1.101250E+1	2.554092E-2	5.656461E-1	-4.225861E-1
1.112500E+1	2.152298E-2	6.125324E-1	-5.312230E-1
1.123750E+1	2.288365E-2	5.398828E-1	-3.086682E-1
1.135000E+1	2.447026E-2	6.578779E-1	-3.373625E-1
1.146250E+1	2.265195E-2	5.307556E-1	4.703040E-2
1.157500E+1	2.231198E-2	6.262856E-1	-5.439029E-1
1.168750E+1	2.164870E-2	4.511217E-1	-6.882225E-2
1.180000E+1	1.899158E-2	2.409435E-1	-2.408971E-1
1.191250E+1	2.127871E-2	1.388554E-1	-1.091498E-1
1.202500E+1	2.002810E-2	5.060583E-1	-4.843333E-1
1.213750E+1	2.381250E-2	6.380790E-1	-6.047046E-1
1.225000E+1	2.040315E-2	4.087161E-1	-3.300067E-1
1.236250E+1	1.807957E-2	6.040283E-1	-5.349306E-1
1.247500E+1	1.741682E-2	4.894808E-1	-2.855550E-1
1.258750E+1	1.714940E-2	5.700584E-1	-4.800764E-1
1.270000E+1	2.240339E-2	4.936808E-1	-2.300175E-1
1.281250E+1	2.391773E-2	5.888909E-1	-4.712398E-1
1.292500E+1	1.808156E-2	6.126665E-1	-4.315732E-1
1.303750E+1	1.868003E-2	5.265202E-1	7.186671E-2
1.315000E+1	2.326362E-2	8.216101E-2	-5.907908E-2
1.326250E+1	2.266300E-2	3.374755E-1	-6.906272E-2
1.337500E+1	1.795840E-2	5.097013E-1	-2.440668E-1
1.348750E+1	2.070070E-2	6.432512E-1	-4.534883E-1
1.360000E+1	1.631567E-2	3.070781E-1	-2.201650E-1
1.371250E+1	2.038432E-2	5.959236E-1	-5.514134E-1
1.382500E+1	1.684350E-2	3.205433E-1	-3.006643E-1
1.393750E+1	2.119143E-2	6.300495E-1	-3.450533E-1
1.405000E+1	2.151748E-2	3.507471E-1	-3.118591E-1
1.416250E+1	3.001423E-2	2.805759E-1	-1.657148E-1
1.427500E+1	2.129049E-2	5.613148E-1	-5.148048E-1
1.438750E+1	2.258530E-2	2.460564E-1	-1.803824E-1
1.450000E+1	2.133380E-2	5.329299E-1	-1.752258E-1
1.461250E+1	2.417099E-2	6.717073E-1	-3.322592E-1
1.472500E+1	2.442252E-2	7.571049E-1	1.821763E-1
1.483750E+1	2.156382E-2	2.268905E-1	-2.258347E-1
1.495000E+1	2.633775E-2	5.263842E-1	-5.141097E-1
1.506250E+1	2.466535E-2	1.956056E-1	1.840512E-2
1.517500E+1	2.210299E-2	2.758822E-1	-2.486369E-1
1.528750E+1	2.116405E-2	3.885762E-1	-3.460240E-1
1.540000E+1	2.094223E-2	7.156664E-1	-7.015435E-1
1.551250E+1	2.869150E-2	4.175617E-1	7.871461E-3
1.562500E+1	2.162860E-2	3.231645E-1	-2.460477E-1
1.573750E+1	2.568731E-2	4.899198E-1	-4.895212E-1
1.585000E+1	2.389638E-2	5.963672E-1	-5.254928E-1
1.596250E+1	2.119033E-2	2.566983E-1	-1.666387E-1
1.607500E+1	2.518474E-2	7.902846E-1	-1.094421E-1
1.618750E+1	2.282172E-2	9.468967E-2	-6.005592E-2
1.630000E+1	2.551248E-2	6.927742E-1	-9.640218E-2
1.641250E+1	3.022306E-2	5.792949E-1	-1.090136E-2
1.652500E+1	2.367978E-2	6.775046E-1	-6.689578E-1
1.663750E+1	2.392206E-2	1.826221E-2	-1.818408E-2
1.675000E+1	2.514274E-2	4.274685E-1	-3.081323E-1
1.686250E+1	2.326179E-2	6.198528E-1	-6.178661E-1
1.697500E+1	2.677367E-2	5.308384E-1	-3.231100E-1
1.708750E+1	2.394938E-2	5.021446E-1	-2.193692E-1
1.720000E+1	2.201818E-2	5.629662E-1	-4.043874E-1
1.731250E+1	2.777256E-2	4.746157E-1	-3.393993E-1
1.742500E+1	2.831075E-2	5.232843E-1	-4.875048E-1
1.753750E+1	2.364115E-2	7.131313E-1	-5.126410E-1
1.765000E+1	2.556713E-2	6.756507E-1	-6.520577E-1
1.776250E+1	2.614743E-2	2.197797E-1	1.469092E-1
1.787500E+1	2.352856E-2	5.929202E-1	-5.149430E-1
1.798750E+1	2.176623E-2	5.553212E-1	-5.536844E-1
1.810000E+1	3.009816E-2	8.568333E-1	-6.593881E-1
1.821250E+1	2.498787E-2	8.596963E-1	-3.402438E-1
1.832500E+1	2.923148E-2	6.705527E-1	-1.780208E-1
1.843750E+1	2.391379E-2	8.873545E-1	-5.610756E-1
1.855000E+1	2.072066E-2	6.520930E-1	-6.482575E-1
1.866250E+1	2.716664E-2	1.727709E-1	-1.675037E-1
1.877500E+1	2.847207E-2	3.122567E-1	-9.755741E-2
1.888750E+1	2.948740E-2	4.716572E-1	-3.475076E-1
1.900000E+1	2.136679E-2	4.391979E-1	-3.447806E-1
1.911250E+1	2.850426E-2	1.166339E+0	-7.945350E-1
1.922500E+1	2.319635E-2	2.201071E-1	-2.089211E-1
1.933750E+1	2.620904E-2	5.007744E-1	-3.830284E-1
1.945000E+1	2.724168E-2	6.092002E-1	-5.044002E-1
1.956250E+1	3.201770E-2	1.154260E+0	-6.878608E-1
1.967500E+1	2.685713E-2	8.484014E-1	-6.622190E-1
1.978750E+1	2.392718E-2	1.246575E+0	-1.197377E+0
1.990000E+1	2.562492E-2	6.270158E-1	-5.641671E-1
2.001250E+1	2.530196E-2	7.021462E-1	-6.822366E-1
2.012500E+1	2.668731E-2	6.611253E-1	-5.035649E-1
2.023750E+1	3.317738E-2	7.671852E-1	-7.323606E-1
2.035000E+1	3.328363E-2	2.448977E-1	-2.054877E-1
2.046250E+1	2.081990E-2	5.143852E-1	5.103481E-1
2.057500E+1	2.544483E-2	4.800684E-1	-4.621884E-1
2.068750E+1	2.612014E-2	5.142244E-1	-6.898238E-2
2.080000E+1	2.484963E-2	4.794753E-1	-4.372257E-1
2.091250E+1	2.559220E-2	7.090517E-1	-7.089477E-1
2.102500E+1	2.750148E-2	8.089738E-1	-4.615828E-1
2.113750E+1	1.875334E-2	4.603025E-1	-2.573201E-1
2.125000E+1	2.060743E-2	2.849422E-1	-2.781346E-1
2.136250E+1	2.760679E-2	3.118775E-1	-2.085025E-1
2.147500E+1	2.650877E-2	8.757102E-1	-7.292094E-1
2.158750E+1	2.273546E-2	4.300140E-1	-4.093137E-1
2.170000E+1	3.275067E-2	3.673940E-1	3.671833E-1
2.181250E+1	2.737064E-2	3.179004E-1	-2.829827E-1
2.192500E+1	2.298252E-2	8.740400E-1	-8.391644E-1
2.203750E+1	2.711605E-2	8.189014E-1	-6.309366E-1
2.215000E+1	2.850455E-2	6.166844E-1	-4.584723E-1
2.226250E+1	2.519514E-2	4.646427E-1	-1.814155E-2
