Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
1.90000000E+0	0.00000000E+0	1.51662426E-1	9.26545238E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.80000000E+0	0.00000000E+0	1.51435143E-1	3.43569043E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.70000000E+0	0.00000000E+0	1.47452555E-1	3.58295622E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.60000000E+0	0.00000000E+0	1.47053029E-1	3.57974087E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.50000000E+0	0.00000000E+0	1.46393478E-1	3.41379208E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.40000000E+0	0.00000000E+0	1.48192829E-1	3.41686753E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.30000000E+0	0.00000000E+0	1.45906646E-1	3.45449660E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.20000000E+0	0.00000000E+0	1.46625893E-1	3.41146043E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.10000000E+0	0.00000000E+0	1.47743400E-1	3.49694375E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E+0	0.00000000E+0	1.47879559E-1	3.42482507E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
9.00000000E-1	0.00000000E+0	1.48169162E-1	3.43442386E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
8.00000000E-1	0.00000000E+0	1.48466942E-1	3.41416099E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
7.00000000E-1	0.00000000E+0	1.48499296E-1	3.42581799E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
6.00000000E-1	0.00000000E+0	1.49198740E-1	3.41393431E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.00000000E-1	0.00000000E+0	1.49253429E-1	3.40893166E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.00000000E-1	0.00000000E+0	1.49803607E-1	3.41617137E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
3.00000000E-1	0.00000000E+0	1.50059954E-1	3.41379594E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.00000000E-1	0.00000000E+0	1.50165824E-1	3.55722723E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E-1	0.00000000E+0	1.49656647E-1	3.40931412E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
-2.22044605E-16	0.00000000E+0	1.49606428E-1	3.41095311E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
