Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	1.281926E-2	1.531299E+0	-8.051744E-1
1.011250E+1	1.552947E-2	1.085244E+0	-2.675689E-1
1.022500E+1	1.334540E-2	1.658174E+0	-5.237793E-1
1.033750E+1	1.419294E-2	9.968260E-1	3.321501E-1
1.045000E+1	1.321735E-2	6.098226E-1	-5.617542E-1
1.056250E+1	1.407017E-2	1.663014E+0	-9.397087E-1
1.067500E+1	1.493412E-2	1.135171E+0	-1.099097E+0
1.078750E+1	1.473153E-2	2.244727E+0	-9.982105E-1
1.090000E+1	1.378942E-2	7.512860E-1	-3.496609E-1
1.101250E+1	1.417540E-2	1.266484E+0	-4.863963E-1
1.112500E+1	1.626692E-2	1.471784E+0	-1.083672E+0
1.123750E+1	1.184121E-2	1.365247E+0	-6.494908E-1
1.135000E+1	1.556141E-2	1.239102E+0	-1.701816E-1
1.146250E+1	1.267656E-2	1.058847E+0	-6.494197E-2
1.157500E+1	1.417840E-2	1.283782E+0	-7.282496E-1
1.168750E+1	1.440080E-2	1.259129E+0	-8.266209E-1
1.180000E+1	1.741038E-2	1.348889E+0	-7.525216E-1
1.191250E+1	2.025869E-2	1.353796E+0	-5.125518E-1
1.202500E+1	1.467804E-2	1.184798E+0	-3.398271E-1
1.213750E+1	1.525853E-2	7.167851E-1	-4.802378E-1
1.225000E+1	1.526477E-2	1.388408E+0	-4.447601E-1
1.236250E+1	1.606493E-2	8.382998E-1	-3.161553E-1
1.247500E+1	1.960462E-2	1.052401E+0	-8.271883E-1
1.258750E+1	1.583826E-2	9.171103E-1	-6.710296E-1
1.270000E+1	1.506688E-2	1.925423E+0	-1.265112E+0
1.281250E+1	1.539784E-2	1.421457E+0	-7.155064E-1
1.292500E+1	1.691371E-2	1.278718E+0	-5.403674E-1
1.303750E+1	1.466065E-2	1.493210E+0	-3.567800E-1
1.315000E+1	1.721589E-2	1.463409E+0	-2.953104E-1
1.326250E+1	1.524747E-2	8.245271E-1	-5.066127E-1
1.337500E+1	1.460379E-2	1.321971E+0	-8.348673E-1
1.348750E+1	1.767141E-2	1.639016E+0	-1.438137E+0
1.360000E+1	1.565997E-2	1.387472E+0	-7.785999E-1
1.371250E+1	1.807065E-2	1.888860E+0	-1.180296E+0
1.382500E+1	1.923557E-2	1.220725E+0	-5.367057E-1
1.393750E+1	1.263977E-2	1.146513E+0	-7.781985E-1
1.405000E+1	1.604171E-2	1.479163E+0	-1.055101E+0
1.416250E+1	1.733503E-2	2.103093E+0	-1.312281E+0
1.427500E+1	1.505654E-2	1.900873E+0	-9.338631E-1
1.438750E+1	2.094631E-2	1.853405E+0	-9.534261E-1
1.450000E+1	1.592857E-2	1.849054E+0	-1.275620E+0
1.461250E+1	1.813655E-2	1.760908E+0	-1.406094E+0
1.472500E+1	2.115682E-2	1.070617E+0	-9.523079E-1
1.483750E+1	1.825366E-2	1.308210E+0	-9.635189E-1
1.495000E+1	2.037020E-2	1.561277E+0	-7.590125E-1
1.506250E+1	1.644588E-2	1.243565E+0	-8.159267E-1
1.517500E+1	2.074510E-2	1.893775E+0	-1.549714E+0
1.528750E+1	2.390545E-2	2.043542E+0	-1.078795E+0
1.540000E+1	2.005000E-2	1.895170E+0	-1.112712E+0
1.551250E+1	1.604937E-2	1.687003E+0	-1.436097E+0
1.562500E+1	1.832552E-2	1.124321E+0	-4.103172E-1
1.573750E+1	2.160279E-2	1.042555E+0	-1.033224E+0
1.585000E+1	2.059067E-2	1.593222E+0	-1.451501E+0
1.596250E+1	1.826335E-2	1.512145E+0	-1.440263E+0
1.607500E+1	2.035948E-2	1.592450E+0	-1.393443E+0
1.618750E+1	1.861501E-2	1.796128E+0	-1.320107E+0
1.630000E+1	2.063611E-2	1.549950E+0	-1.355335E+0
1.641250E+1	1.728852E-2	2.059953E+0	-2.042573E+0
1.652500E+1	1.628567E-2	1.851931E+0	-1.644505E+0
1.663750E+1	1.732233E-2	1.428863E+0	-1.356725E+0
1.675000E+1	1.894411E-2	1.755666E+0	-1.648701E+0
1.686250E+1	2.333798E-2	1.602789E+0	-1.451233E+0
1.697500E+1	2.011041E-2	1.533387E+0	-9.030738E-1
1.708750E+1	1.910856E-2	8.923692E-1	-5.795506E-1
1.720000E+1	2.066197E-2	1.782805E+0	-1.583612E+0
1.731250E+1	2.386576E-2	1.741233E+0	-1.591808E+0
1.742500E+1	1.948339E-2	1.966251E+0	-1.582431E+0
1.753750E+1	2.276628E-2	1.267429E+0	-1.122678E+0
1.765000E+1	2.169824E-2	1.726042E+0	-1.701614E+0
1.776250E+1	2.164622E-2	2.462091E+0	-2.166009E+0
1.787500E+1	2.000833E-2	1.923625E+0	-1.878886E+0
1.798750E+1	1.852781E-2	1.076487E+0	-1.040135E+0
1.810000E+1	2.157159E-2	1.179073E+0	-1.145363E+0
1.821250E+1	1.971209E-2	1.953796E+0	-1.951391E+0
1.832500E+1	1.724189E-2	1.869025E+0	-1.673514E+0
1.843750E+1	2.120570E-2	1.740004E+0	-1.739227E+0
1.855000E+1	2.244844E-2	1.816773E+0	-1.686846E+0
1.866250E+1	2.342097E-2	2.006349E+0	-1.979833E+0
1.877500E+1	2.408122E-2	2.520569E+0	-2.270961E+0
1.888750E+1	2.163744E-2	1.668373E+0	-1.384105E+0
1.900000E+1	2.344890E-2	1.853282E+0	-1.850256E+0
1.911250E+1	2.164913E-2	1.847041E+0	-1.847039E+0
1.922500E+1	2.278763E-2	1.621279E+0	-1.577760E+0
1.933750E+1	1.605291E-2	9.546148E-1	-8.160120E-1
1.945000E+1	2.245541E-2	1.519782E+0	-1.491996E+0
1.956250E+1	1.726997E-2	1.379741E+0	-1.344824E+0
1.967500E+1	2.266834E-2	2.138146E+0	-2.063936E+0
1.978750E+1	2.468879E-2	1.600340E+0	-1.591195E+0
1.990000E+1	2.029375E-2	2.176968E+0	-2.169643E+0
2.001250E+1	2.172806E-2	1.716797E+0	-1.716626E+0
2.012500E+1	2.845168E-2	1.286186E+0	-1.201959E+0
2.023750E+1	2.214668E-2	1.480421E+0	-1.477299E+0
2.035000E+1	2.239888E-2	1.548825E+0	-1.506365E+0
2.046250E+1	2.540403E-2	1.542789E+0	-1.430242E+0
2.057500E+1	2.423736E-2	1.351580E+0	-1.212350E+0
2.068750E+1	1.564984E-2	1.468692E+0	-1.262676E+0
2.080000E+1	2.224970E-2	1.955512E+0	-1.786395E+0
2.091250E+1	2.416134E-2	1.559331E+0	-1.516032E+0
2.102500E+1	2.178795E-2	1.595499E+0	-1.402689E+0
2.113750E+1	1.907412E-2	1.612971E+0	-1.507548E+0
2.125000E+1	2.139919E-2	1.338551E+0	-1.176576E+0
2.136250E+1	2.398512E-2	1.396164E+0	-1.108798E+0
2.147500E+1	2.366857E-2	1.085010E+0	-9.762228E-1
2.158750E+1	1.864653E-2	1.320335E+0	-1.280317E+0
2.170000E+1	1.689568E-2	1.856030E+0	-1.830221E+0
2.181250E+1	1.839846E-2	1.844144E+0	-1.687020E+0
2.192500E+1	2.203309E-2	1.976430E+0	-1.780622E+0
2.203750E+1	1.972502E-2	1.562297E+0	-1.519067E+0
2.215000E+1	1.847002E-2	1.389491E+0	-1.320045E+0
2.226250E+1	1.858024E-2	1.920491E+0	-1.675753E+0
2.237500E+1	1.825110E-2	1.328101E+0	-1.081515E+0
2.248750E+1	1.973934E-2	1.450084E+0	-1.153143E+0
2.260000E+1	1.802291E-2	2.098301E+0	-1.753746E+0
2.271250E+1	1.477270E-2	1.790616E+0	-1.355526E+0
2.282500E+1	1.703729E-2	1.609218E+0	-1.414116E+0
2.293750E+1	1.600285E-2	1.339737E+0	-1.199168E+0
2.305000E+1	1.747767E-2	1.492154E+0	-1.486168E+0
2.316250E+1	1.898934E-2	9.095573E-1	-4.429007E-1
2.327500E+1	2.094117E-2	1.552823E+0	-1.014180E+0
2.338750E+1	2.027223E-2	8.749870E-1	-6.456660E-1
2.350000E+1	1.655449E-2	9.132011E-1	-5.289814E-1
2.361250E+1	1.871831E-2	9.992554E-1	-6.206266E-1
2.372500E+1	1.448842E-2	9.105294E-1	-7.050619E-1
2.383750E+1	1.791342E-2	1.048993E+0	-8.373683E-1
2.395000E+1	1.828195E-2	1.256745E+0	-1.020232E+0
2.406250E+1	1.384514E-2	9.626791E-1	-6.686890E-1
2.417500E+1	1.715161E-2	1.189367E+0	-6.069926E-1
2.428750E+1	1.704572E-2	1.369794E+0	-1.109647E+0
2.440000E+1	1.477065E-2	7.913257E-1	-4.336645E-1
2.451250E+1	1.678243E-2	6.944458E-1	-5.683306E-1
2.462500E+1	1.369234E-2	1.131533E+0	-1.054066E+0
2.473750E+1	1.384291E-2	1.130834E+0	-8.928599E-1
2.485000E+1	1.580834E-2	8.979745E-1	-7.885575E-1
2.496250E+1	1.723161E-2	7.549159E-1	-5.006583E-1
2.507500E+1	1.607932E-2	1.152295E+0	-7.634572E-1
2.518750E+1	1.569067E-2	1.374969E+0	-1.011197E+0
2.530000E+1	1.664459E-2	1.482223E+0	-8.869758E-1
2.541250E+1	1.615897E-2	1.225671E+0	-9.771187E-1
2.552500E+1	1.608114E-2	1.218039E+0	-8.808455E-1
2.563750E+1	1.601353E-2	9.133993E-1	-1.487105E-1
2.575000E+1	1.294238E-2	5.101488E-1	-4.361833E-1
2.586250E+1	1.611678E-2	4.341005E-1	-2.122351E-1
2.597500E+1	1.643814E-2	1.359262E+0	-9.055158E-1
2.608750E+1	1.266264E-2	1.376740E+0	-6.602542E-1
2.620000E+1	1.496249E-2	1.179377E+0	-8.202408E-1
2.631250E+1	1.483192E-2	1.367890E+0	-7.727614E-1
2.642500E+1	1.283655E-2	1.183927E+0	-9.798073E-1
2.653750E+1	1.543003E-2	6.846188E-1	-3.930938E-1
2.665000E+1	1.398561E-2	1.038921E+0	-6.172504E-1
2.676250E+1	1.314664E-2	1.027493E+0	-3.323047E-1
2.687500E+1	1.408437E-2	7.886998E-1	-6.574175E-1
2.698750E+1	1.227998E-2	2.902505E-1	-1.582819E-1
2.710000E+1	1.398277E-2	7.735307E-1	-6.583002E-1
2.721250E+1	1.163870E-2	1.335460E+0	-6.452883E-1
2.732500E+1	1.314750E-2	1.012774E+0	-1.888617E-1
2.743750E+1	1.207185E-2	6.053718E-1	-4.219289E-1
2.755000E+1	1.100438E-2	1.045997E+0	-7.840589E-1
2.766250E+1	1.091329E-2	1.053603E+0	-6.898170E-1
2.777500E+1	1.338468E-2	1.072763E+0	-4.848228E-1
2.788750E+1	1.396493E-2	6.969454E-1	-7.300851E-2
2.800000E+1	1.345269E-2	7.922353E-1	-2.365110E-1
2.811250E+1	1.137181E-2	9.193236E-1	-6.995077E-1
2.822500E+1	1.007769E-2	9.051638E-1	-6.654123E-1
2.833750E+1	1.022588E-2	1.232540E+0	-2.735315E-1
2.845000E+1	1.191685E-2	8.745717E-1	-4.926620E-2
2.856250E+1	1.301140E-2	7.961460E-1	-2.669764E-1
2.867500E+1	1.118085E-2	6.524513E-1	-5.378281E-1
2.878750E+1	1.217149E-2	8.312402E-1	-2.029781E-1
2.890000E+1	1.192983E-2	1.071022E+0	-5.350919E-1
2.901250E+1	1.020301E-2	9.842606E-1	-3.276456E-1
2.912500E+1	9.987300E-3	6.470416E-1	-2.032902E-1
