Imposed Vibration Voltage - Volt	Average Gamma X - Unitless	Average Gamma S - Unitless	Step Time - Second	null 5	null 6	null 7	
2.00000000E+0	0.00000000E+0	1.49436291E-1	2.58284473E+0	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.85714286E+0	0.00000000E+0	1.48277323E-1	3.88302487E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.71428571E+0	0.00000000E+0	1.46486070E-1	8.93939368E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.57142857E+0	0.00000000E+0	1.46050536E-1	3.88681578E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.42857143E+0	0.00000000E+0	1.45839562E-1	4.47904265E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.28571429E+0	0.00000000E+0	1.45988752E-1	3.87390522E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.14285714E+0	0.00000000E+0	1.46625496E-1	3.91531617E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.00000000E+0	0.00000000E+0	1.46411545E-1	3.88613057E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
8.57142857E-1	0.00000000E+0	1.46992366E-1	3.88026661E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
7.14285714E-1	0.00000000E+0	1.46838606E-1	3.88562824E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
5.71428571E-1	0.00000000E+0	1.47318405E-1	3.87027297E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
4.28571429E-1	0.00000000E+0	1.45765135E-1	3.91911643E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
2.85714286E-1	0.00000000E+0	1.45546688E-1	3.87294149E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
1.42857143E-1	0.00000000E+0	1.45907716E-1	3.87861516E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
0.00000000E+0	0.00000000E+0	1.46419345E-1	3.88343627E+2	0.00000000E+0	0.00000000E+0	0.00000000E+0
