Freq (Hz)	PSD/Measured Spectrum: Power CH2 (Vrms/rtHz)	Freq Response Module (Vrms)	Freq Response Im part (Unitless Power)
1.000000E+1	4.074495E-2	7.470294E+0	-6.804434E+0
1.011250E+1	3.828580E-2	7.880000E+0	-7.724122E+0
1.022500E+1	4.627294E-2	8.373009E+0	-8.305224E+0
1.033750E+1	4.373038E-2	7.527750E+0	-7.425593E+0
1.045000E+1	4.786677E-2	9.065670E+0	-9.045147E+0
1.056250E+1	4.132419E-2	7.145730E+0	-7.144497E+0
1.067500E+1	4.271154E-2	8.894105E+0	-8.856511E+0
1.078750E+1	4.742821E-2	9.220150E+0	-8.788568E+0
1.090000E+1	4.646669E-2	9.082254E+0	-8.714742E+0
1.101250E+1	3.859774E-2	8.355294E+0	-7.835743E+0
1.112500E+1	4.937166E-2	9.569921E+0	-9.186245E+0
1.123750E+1	4.608767E-2	7.195935E+0	-6.406701E+0
1.135000E+1	3.928986E-2	8.406571E+0	-6.829473E+0
1.146250E+1	3.614401E-2	7.862665E+0	-6.525268E+0
1.157500E+1	3.916173E-2	7.086723E+0	-5.732319E+0
1.168750E+1	3.797414E-2	6.584354E+0	-5.180678E+0
1.180000E+1	3.537569E-2	7.265444E+0	-5.433044E+0
1.191250E+1	3.287129E-2	6.629448E+0	-5.297814E+0
1.202500E+1	2.984435E-2	6.100051E+0	-4.737877E+0
1.213750E+1	3.067550E-2	5.744235E+0	-4.232260E+0
1.225000E+1	2.996114E-2	5.653379E+0	-4.087949E+0
1.236250E+1	3.185233E-2	6.092715E+0	-4.755492E+0
1.247500E+1	2.704283E-2	5.581355E+0	-4.149944E+0
1.258750E+1	2.855256E-2	5.399038E+0	-4.054123E+0
1.270000E+1	2.193401E-2	4.734172E+0	-3.716943E+0
1.281250E+1	2.357218E-2	5.614482E+0	-3.958353E+0
1.292500E+1	1.995127E-2	5.573471E+0	-3.452003E+0
1.303750E+1	1.749007E-2	5.463812E+0	-3.243652E+0
1.315000E+1	1.985487E-2	5.222832E+0	-2.660736E+0
1.326250E+1	1.994644E-2	5.176726E+0	-1.981778E+0
1.337500E+1	1.730634E-2	4.690420E+0	-1.483703E+0
1.348750E+1	2.016451E-2	4.308425E+0	-1.306216E+0
1.360000E+1	2.104116E-2	3.909972E+0	-8.280175E-1
1.371250E+1	1.634736E-2	3.232487E+0	-5.953707E-1
1.382500E+1	1.690624E-2	3.105493E+0	-7.921779E-1
1.393750E+1	1.735249E-2	3.024886E+0	-5.573224E-1
1.405000E+1	1.725588E-2	3.078498E+0	-8.211922E-1
1.416250E+1	1.495275E-2	3.122811E+0	-1.263186E+0
1.427500E+1	1.495205E-2	2.920489E+0	-1.259224E+0
1.438750E+1	1.624750E-2	3.414002E+0	-1.559158E+0
1.450000E+1	1.515675E-2	3.213355E+0	-7.108889E-1
