"Resp(Wavelength), created by Plot Digitizer, 2.6.8"
"Date: 11/25/19, 5:16:30 PM"


97
Wavelength,Resp
705.309,0.104669
720.846,0.117298
733.897,0.127409
749.434,0.140038
761.862,0.150142
777.416,0.156544
788.592,0.169124
801.011,0.182964
815.917,0.198077
828.944,0.216904
844.452,0.239496
853.728,0.263263
864.249,0.287043
877.875,0.314595
888.396,0.338376
901.398,0.365920
911.906,0.394682
914.978,0.409661
918.613,0.445817
924.127,0.478259
929.021,0.509448
933.307,0.535648
940.081,0.563123
946.855,0.590597
949.920,0.608066
956.764,0.610635
959.213,0.625606
972.870,0.641950
979.701,0.649500
997.746,0.655931
1010.18,0.664789
1022.01,0.664923
1030.08,0.674977
1038.14,0.690012
1044.99,0.688845
1052.43,0.702628
1063.60,0.717698
1074.77,0.730278
1084.70,0.742844
1094.01,0.755403
1102.72,0.757992
1112.66,0.769313
1125.07,0.785643
1135.00,0.796963
1142.47,0.799539
1149.29,0.810824
1156.76,0.812154
1164.84,0.817227
1172.93,0.819809
1185.37,0.827422
1195.33,0.828780
1207.15,0.832650
1215.86,0.836484
1225.18,0.846553
1235.14,0.847911
1251.29,0.864283
1266.86,0.863214
1280.49,0.889521
1307.25,0.897296
1313.46,0.907329
1327.15,0.909974
1340.82,0.923828
1354.50,0.930209
1364.45,0.936549
1373.80,0.934164
1380.63,0.942959
1398.06,0.945647
1411.14,0.944549
1432.92,0.951023
1454.10,0.952508
1480.26,0.951559
1507.66,0.953114
1528.23,0.947120
1552.53,0.946150
1575.59,0.940185
1604.27,0.930546
1622.36,0.923279
1644.84,0.901118
1648.00,0.886209
1651.83,0.855119
1657.56,0.810351
1661.45,0.755600
1662.90,0.683387
1664.40,0.592494
1668.98,0.517825
1672.31,0.439406
1673.78,0.360966
1679.64,0.271368
1683.50,0.227824
1689.32,0.150679
1700.06,0.0984960
1711.40,0.0525467
1721.41,0.0389612
1733.30,0.0179250
1745.78,0.0105942
1761.98,0.00828698
1776.32,0.00471326
